A	0	29
B	30	33
C	64	40
D	104	30
E	134	30
F	164	30
G	195	38
H	233	36
I	269	33
J	302	33
K	335	35
L	370	30
M	400	31
N	431	30
O	461	31
P	492	34
Q	526	36
R	562	30
S	592	34
T	626	34
U	660	35
V	696	35
W	732	45
X	778	38
Y	816	37
Z	853	35
alpha	888	35
bravo	923	46
charlie	969	44
delta	1014	38
echo	1052	38
foxtrot	1091	58
golf	1149	41
hotel	1190	47
india	1238	44
juliette	1282	48
kilo	1330	41
lima	1371	35
mike	1406	33
november	1439	47
oscar	1487	35
papa	1522	48
quebec	1571	43
romeo	1615	52
sierra	1667	50
tango	1717	48
uniform	1766	52
victor	1818	38
whiskey	1856	39
X-ray	1896	50
yankee	1946	45
zulu	1991	45
1	2036	33
2	2072	34
3	2107	34
4	2141	36
5	2177	40
6	2217	44
7	2262	41
8	2303	32
9	2335	39
0	2374	42
